Departamento,Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial
ANTIOQUIA,GENERSA S.A.S E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,1,0,0,0,1
ANTIOQUIA,ISAGEN S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,61,0,0,0,61
ANTIOQUIA,ITALCOL ENERGIA S.A. ESP.,usuarios Empresa Departamento,0,0,0,0,0,0,0,1,0,0,0,1
ANTIOQUIA,PROFESIONALES EN ENERGÍA S.A E.S.P,usuarios Empresa Departamento,0,0,0,0,0,0,0,4,0,0,0,4
ANTIOQUIA,SPECTRUM RENOVAVEIS SAS ESP,usuarios Empresa Departamento,0,0,0,0,0,0,0,2,0,0,0,2
ANTIOQUIA,VATIA S.A. E.S.P.,usuarios Empresa Departamento,1,0,163,607,1258,1139,3168,81,1918,0,13,2012
ARAUCA,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,0,1,0,0,1
ARAUCA,EMPRESA DE ENERGIA DE ARAUCA,usuarios Empresa Departamento,39707,16287,4089,546,0,0,60629,11,4605,1056,8,5680
ARAUCA,ENEL COLOMBIA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,1,0,0,0,1
ARAUCA,ISAGEN S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,1,0,0,0,1
ARAUCA,PROFESIONALES EN ENERGÍA S.A E.S.P,usuarios Empresa Departamento,0,0,0,0,0,0,0,0,0,0,1,1
ARAUCA,VATIA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,0,2,0,0,2
ATLANTICO,CELSIA COLOMBIA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,2,0,0,0,2
ATLANTICO,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,2,159,0,0,161
ATLANTICO,E2 ENERGIA EFICIENTE S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,0,32,0,0,32
ATLANTICO,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,usuarios Empresa Departamento,212896,155996,81170,36674,12148,10337,509221,1064,30528,732,1856,34180
ATLANTICO,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,usuarios Empresa Departamento,0,0,0,0,0,0,0,1,0,2,0,3
ATLANTICO,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,6,21,0,1,28
ATLANTICO,ENEL COLOMBIA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,8,1,1,19,29
ATLANTICO,ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,0,0,0,0,0
ATLANTICO,ENERTOTAL S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,0,12,1,0,13
ATLANTICO,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A E.S.P,usuarios Empresa Departamento,0,0,0,0,0,0,0,1,0,0,0,1
ATLANTICO,ISAGEN S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,5,0,0,0,5
ATLANTICO,ITALCOL ENERGIA S.A. ESP.,usuarios Empresa Departamento,0,0,0,0,0,0,0,3,0,0,0,3
ATLANTICO,VATIA S.A. E.S.P.,usuarios Empresa Departamento,2,92,1698,1926,1316,1471,6505,65,2158,15,11,2249
BOLIVAR,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,usuarios Empresa Departamento,2023,703,18,8,0,0,2752,2,69,45,9,125
BOLIVAR,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,2,23,0,0,25
BOLIVAR,E2 ENERGIA EFICIENTE S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,0,18,0,0,18
BOLIVAR,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,usuarios Empresa Departamento,5759,724,1,0,0,0,6484,18,570,92,6,686
BOLIVAR,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,usuarios Empresa Departamento,225520,120118,43984,17076,9035,10872,426605,551,21428,967,2077,25023
BOLIVAR,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,usuarios Empresa Departamento,0,0,0,0,0,0,0,0,0,3,0,3
BOLIVAR,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,5,14,0,0,19
BOLIVAR,ENEL COLOMBIA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,6,5,1,0,12
BOLIVAR,ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,9,0,0,0,9
BOLIVAR,ENERTOTAL S.A. E.S.P.,usuarios Empresa Departamento,0,0,1,0,0,0,1,11,4,0,0,15
BOLIVAR,ISAGEN S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,2,0,0,0,2
BOLIVAR,ITALCOL ENERGIA S.A. ESP.,usuarios Empresa Departamento,0,0,0,0,0,0,0,1,0,0,0,1
BOLIVAR,VATIA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,2,0,0,2,3,58,0,0,61
BOYACA,CELSIA COLOMBIA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,2,0,0,0,2
BOYACA,CODENSA S.A. ESP,usuarios Empresa Departamento,376,2760,51,15,7,0,3209,172,66,26,19,283
BOYACA,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,15,9,0,0,24
BOYACA,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,usuarios Empresa Departamento,0,74,0,0,0,0,74,0,0,5,0,5
BOYACA,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,2,4,0,0,6
BOYACA,EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P. EMPRESA DE SERVICIOS PUBLICOS,usuarios Empresa Departamento,45427,273834,59648,15021,4695,11,398636,2029,31482,4471,2324,40306
BOYACA,EMPRESA DE ENERGIA DE CASANARE SA ESP,usuarios Empresa Departamento,0,0,0,0,0,0,0,0,0,0,1,1
BOYACA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,13,3,0,0,16
BOYACA,ENEL COLOMBIA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,11,3,0,0,14
BOYACA,ENERTOTAL S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,3,4,5,2,14
BOYACA,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A E.S.P,usuarios Empresa Departamento,0,0,0,0,0,0,0,2,0,0,0,2
BOYACA,ISAGEN S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,9,0,0,0,9
BOYACA,VATIA S.A. E.S.P.,usuarios Empresa Departamento,0,0,66,17,34,0,117,76,328,1,28,433
CALDAS,CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO,usuarios Empresa Departamento,59852,113651,77990,20589,6973,10208,289263,813,27872,1394,4369,34448
CALDAS,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,1,8,0,0,9
CALDAS,E2 ENERGIA EFICIENTE S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,0,5,0,0,5
CALDAS,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,0,2,0,0,2
CALDAS,EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP.,usuarios Empresa Departamento,0,0,0,0,0,0,0,0,0,0,1,1
CALDAS,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,usuarios Empresa Departamento,0,0,0,0,0,0,0,0,1,0,0,1
CALDAS,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,37,34,2,7,80
CALDAS,ENEL COLOMBIA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,4,1,0,0,5
CALDAS,ENERTOTAL S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,3,1,18,0,22
CALDAS,ISAGEN S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,13,0,0,0,13
CALDAS,VATIA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,11,35,1,1,48
CAQUETA,ELECTRIFICADORA DEL CAQUETA S.A. ESP,usuarios Empresa Departamento,53268,20593,5861,701,0,0,80423,85,6522,821,32,7460
CAQUETA,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,1,0,0,0,1
CAQUETA,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,0,1,1,1,3
CAQUETA,EMPRESA MUNICIPAL DE SERVICIOS PUBLICOS DE CARTAGENA DEL CHAIRA,usuarios Empresa Departamento,2525,589,188,0,0,0,3302,0,283,69,0,352
CAQUETA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,0,1,0,0,1
CAQUETA,ISAGEN S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,2,0,0,0,2
CAQUETA,VATIA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,0,1,0,0,1
CASANARE,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,0,6,0,0,6
CASANARE,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,0,4,0,0,4
CASANARE,EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P. EMPRESA DE SERVICIOS PUBLICOS,usuarios Empresa Departamento,0,0,0,0,0,0,0,2,0,0,1,3
CASANARE,EMPRESA DE ENERGIA DE CASANARE SA ESP,usuarios Empresa Departamento,27100,41116,13701,1951,10,0,83878,248,8861,691,302,10102
CASANARE,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,0,1,0,0,1
CASANARE,ENEL COLOMBIA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,1,2,0,1,4
CASANARE,ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,2,0,0,0,2
CASANARE,ISAGEN S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,24,0,0,0,24
CASANARE,LATIN AMERICAN CAPITAL CORP SA ESP,usuarios Empresa Departamento,0,0,0,0,0,0,0,1,0,0,0,1
CASANARE,VATIA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,8,5,1,2,16
CAUCA,CELSIA COLOMBIA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,21,0,0,1,22
CAUCA,COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,usuarios Empresa Departamento,208244,62039,29492,13082,3390,616,316863,1717,12170,3370,509,17766
CAUCA,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,usuarios Empresa Departamento,8,48,0,363,146,0,565,5,43,0,0,48
CAUCA,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,1,1,0,0,2
CAUCA,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,usuarios Empresa Departamento,872,333,5,3,0,1,1214,1,7,26,7,41
CAUCA,EMPRESA DE ENERGIA DEL PUTUMAYO S.A. ESP,usuarios Empresa Departamento,1047,0,0,0,0,0,1047,2,33,23,0,58
CAUCA,EMPRESA MUNICIPAL DE ENERGÍA ELÉCTRICA S.A-E.S.P,usuarios Empresa Departamento,71,907,17,66,0,0,1061,12,21,27,0,60
CAUCA,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,usuarios Empresa Departamento,552,2244,1681,4,0,4,4485,23,456,12,12,503
CAUCA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,2,2,0,0,4
CAUCA,ENEL COLOMBIA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,15,1,0,0,16
CAUCA,ENERTOTAL S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,1,0,0,1,20,12,2,0,34
CAUCA,ISAGEN S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,8,0,0,0,8
CAUCA,VATIA S.A. E.S.P.,usuarios Empresa Departamento,0,0,2,0,0,0,2,20,9,0,1,30
CESAR,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,usuarios Empresa Departamento,20701,14279,2422,334,0,0,37736,40,2555,309,66,2970
CESAR,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,0,2,0,0,2
CESAR,E2 ENERGIA EFICIENTE S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,0,1,0,0,1
CESAR,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,usuarios Empresa Departamento,7812,4302,1227,61,0,0,13402,87,1086,151,45,1369
CESAR,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,usuarios Empresa Departamento,79810,71330,22247,4986,2484,775,181632,276,9509,540,1158,11483
CESAR,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,7,4,0,0,11
CESAR,ENEL COLOMBIA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,4,0,1,0,5
CESAR,ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,0,0,0,0,0
CESAR,RUITOQUE S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,4,0,0,0,4
CESAR,VATIA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,1,0,1,6,26,0,1,33
CHOCO,CELSIA COLOMBIA S.A. E.S.P.,usuarios Empresa Departamento,383,344,2,0,0,0,729,2,19,11,1,33
CHOCO,CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO,usuarios Empresa Departamento,66,8,0,0,0,0,74,0,4,1,2,7
CHOCO,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,0,1,0,0,1
CHOCO,EMPRESA DISTRIBUIDORA DEL PACIFICO S.A. E.S.P,usuarios Empresa Departamento,65524,5614,2693,7,0,0,73838,111,3929,710,79,4829
CHOCO,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,usuarios Empresa Departamento,1037,1120,167,5,0,0,2329,5,167,41,5,218
CHOCO,ENERTOTAL S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,2,0,0,0,2
CHOCO,ISAGEN S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,1,0,0,0,1
CORDOBA,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,1,5,0,0,6
CORDOBA,E2 ENERGIA EFICIENTE S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,0,9,0,0,9
CORDOBA,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,usuarios Empresa Departamento,262041,73650,19373,4540,1866,1426,362896,403,19243,1051,2779,23476
CORDOBA,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,usuarios Empresa Departamento,0,0,0,0,0,0,0,1,0,0,0,1
CORDOBA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,usuarios Empresa Departamento,384,64,40,78,1,0,567,4,11,10,0,25
CORDOBA,ENEL COLOMBIA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,1,1,1,0,3
CORDOBA,ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,0,0,0,0,0
CORDOBA,ENERTOTAL S.A. E.S.P.,usuarios Empresa Departamento,0,0,12,0,0,0,12,7,54,0,4,65
CORDOBA,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A E.S.P,usuarios Empresa Departamento,0,0,0,0,0,0,0,1,0,0,0,1
CORDOBA,ISAGEN S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,14,0,0,0,14
CORDOBA,VATIA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,1,0,0,1,0,17,0,1,18
CUNDINAMARCA,AES COLOMBIA & CIA S C A E S P,usuarios Empresa Departamento,0,0,0,0,0,0,0,1,0,0,0,1
CUNDINAMARCA,CELSIA COLOMBIA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,30,4,0,8,42
CUNDINAMARCA,CEMEX ENERGY SAS ESP,usuarios Empresa Departamento,0,0,0,0,0,0,0,1,0,0,0,1
CUNDINAMARCA,CODENSA S.A. ESP,usuarios Empresa Departamento,54205,350287,153438,15800,2212,4637,580579,10309,34718,1633,2741,49401
CUNDINAMARCA,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,usuarios Empresa Departamento,0,0,32,0,0,0,32,70,44,0,4,118
CUNDINAMARCA,E2 ENERGIA EFICIENTE S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,0,4,0,0,4
CUNDINAMARCA,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,7,15,0,0,22
CUNDINAMARCA,ELECTRIFICADORA DEL META S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,3,0,0,0,3
CUNDINAMARCA,EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P. EMPRESA DE SERVICIOS PUBLICOS,usuarios Empresa Departamento,27,14,0,0,0,0,41,0,0,2,1,3
CUNDINAMARCA,EMPRESA DE ENERGIA DE CUNDINAMARCA S.A. ESP,usuarios Empresa Departamento,34118,91146,50226,21275,3541,2023,202329,1773,21098,1975,1223,26069
CUNDINAMARCA,EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP.,usuarios Empresa Departamento,0,0,0,0,0,0,0,0,0,0,0,0
CUNDINAMARCA,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,usuarios Empresa Departamento,0,0,0,0,0,0,0,1,0,1,0,2
CUNDINAMARCA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,33,20,1,4,58
CUNDINAMARCA,ENEL COLOMBIA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,138,18,1,13,170
CUNDINAMARCA,ENERGIA & AGUA SAS ESP,usuarios Empresa Departamento,0,0,0,0,0,0,0,1,0,0,0,1
CUNDINAMARCA,ENERTOTAL S.A. E.S.P.,usuarios Empresa Departamento,1,1,23,1,2,1,29,51,41,4,2,98
CUNDINAMARCA,GENERSA S.A.S E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,2,0,0,0,2
CUNDINAMARCA,ISAGEN S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,18,0,0,3,21
CUNDINAMARCA,ITALCOL ENERGIA S.A. ESP.,usuarios Empresa Departamento,0,0,0,0,0,0,0,1,0,0,0,1
CUNDINAMARCA,LATIN AMERICAN CAPITAL CORP SA ESP,usuarios Empresa Departamento,366,1934,149,128,29,29,2635,2,144,27,33,206
CUNDINAMARCA,PROFESIONALES EN ENERGÍA S.A E.S.P,usuarios Empresa Departamento,0,0,0,0,0,0,0,12,1,0,1,14
CUNDINAMARCA,RUITOQUE S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,8,1,0,1,10
CUNDINAMARCA,SPECTRUM RENOVAVEIS SAS ESP,usuarios Empresa Departamento,0,0,0,0,0,0,0,3,0,0,0,3
CUNDINAMARCA,VATIA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,8,0,0,8,28,164,0,19,211
D.C.,AES COLOMBIA & CIA S C A E S P,usuarios Empresa Departamento,0,0,0,0,0,0,0,1,0,0,0,1
D.C.,CELSIA COLOMBIA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,62,23,1,0,86
D.C.,CEMEX ENERGY SAS ESP,usuarios Empresa Departamento,0,0,0,0,0,0,0,3,0,0,0,3
D.C.,CODENSA S.A. ESP,usuarios Empresa Departamento,137565,678635,693390,277643,92832,74619,1954684,34892,230212,2783,5717,273604
D.C.,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,usuarios Empresa Departamento,0,253,51,0,0,25,329,240,388,3,2,633
D.C.,E2 ENERGIA EFICIENTE S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,0,28,0,0,28
D.C.,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,34,68,0,3,105
D.C.,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,0,1,0,0,1
D.C.,EMPRESA DE ENERGIA DE CUNDINAMARCA S.A. ESP,usuarios Empresa Departamento,0,0,0,0,0,0,0,0,0,1,0,1
D.C.,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,usuarios Empresa Departamento,0,0,0,0,0,0,0,3,5,40,1,49
D.C.,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,27,74,1,2,104
D.C.,ENEL COLOMBIA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,246,123,10,62,441
D.C.,ENERGIA & AGUA SAS ESP,usuarios Empresa Departamento,0,0,0,0,0,0,0,6,0,0,1,7
D.C.,ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,0,0,0,0,0
D.C.,ENERTOTAL S.A. E.S.P.,usuarios Empresa Departamento,1,108,4,17,2,86,218,250,1217,1,57,1525
D.C.,GENERSA S.A.S E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,14,0,0,0,14
D.C.,ISAGEN S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,35,0,0,0,35
D.C.,PROFESIONALES EN ENERGÍA S.A E.S.P,usuarios Empresa Departamento,0,0,0,0,0,0,0,0,0,0,4,4
D.C.,RUITOQUE S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,10,15,0,8,33
D.C.,SPECTRUM RENOVAVEIS SAS ESP,usuarios Empresa Departamento,0,0,0,0,0,0,0,11,2,0,0,13
D.C.,TERMOTASAJERO SA ESP,usuarios Empresa Departamento,0,0,0,0,0,0,0,4,0,0,0,4
D.C.,VATIA S.A. E.S.P.,usuarios Empresa Departamento,0,0,621,388,419,1,1429,52,1141,0,7,1200
GUAINIA,ENEL COLOMBIA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,0,0,0,2,2
GUAVIARE,EMPRESA DE ENERGIA ELECTRICA DEL DEPARTAMENTO DEL GUAVIARE SA ESP,usuarios Empresa Departamento,7316,4633,1296,1,0,0,13246,13,1731,225,16,1985
HUILA,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,6,24,0,0,30
HUILA,E2 ENERGIA EFICIENTE S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,0,1,0,0,1
HUILA,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,1,8,0,0,9
HUILA,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,usuarios Empresa Departamento,98026,136339,26444,8551,1741,172,271273,874,19550,2289,2095,24808
HUILA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,0,5,0,0,5
HUILA,ENEL COLOMBIA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,5,3,1,0,9
HUILA,ENERTOTAL S.A. E.S.P.,usuarios Empresa Departamento,0,0,265,0,0,0,265,3,3,0,2,8
HUILA,GENERSA S.A.S E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,1,0,0,0,1
